store,category,name,price,product_link,common_category,product-link,image_url
al-fateh,dry_fruits_&_dates---fateh,NUTRI MAHARAJA PAN MASALA JAR 100 GM,Rs.355,https://alfatah.pk/products/nutri-maharaja-pan-masala-jar-100-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,DRY DATES 250 GM,Rs.300,https://alfatah.pk/products/dry-dates-250-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,SHAHI ELAICHI HERBAL MOUTH FRESHENER 48 PCS 120 GM,Rs.240,https://alfatah.pk/products/shahi-elaichi-herbal-mouth-freshener-48-pcs-120-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,NUTRI DIET PAN MASALA JAR 100 GM,Rs.405,https://alfatah.pk/products/nutri-diet-pan-masala-jar-100-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AONE GOTA GALA PAN MASALA JAR 150 GM,Rs.210,https://alfatah.pk/products/aone-gota-gala-pan-masala-jar-150-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA CARDAMOMS 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-cardamoms-200gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA PREMIUM QUALITY 200GM,Rs.425,https://alfatah.pk/products/maizban-pan-masala-premium-quality-200gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,NUTRI SONF SWEET ROASTED 100 GM,Rs.495,https://alfatah.pk/products/nutri-sonf-sweet-roasted-100-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,NUTRI TULSI PAN MASALA 150 GM,Rs.160,https://alfatah.pk/products/nutri-tulsi-pan-masala-150-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN CHOCO N CHOCO SAUNF 250 GM,Rs.425,https://alfatah.pk/products/maizban-choco-n-choco-saunf-250-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,ECO DRY APRICOT 200GM,Rs.435,https://alfatah.pk/products/eco-dry-apricot-200gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,NUTRI SUPARI PAN MASALA JAR 100 GM,Rs.495,https://alfatah.pk/products/nutri-supari-pan-masala-jar-100-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MARHABA ARQ SAUNF 240 ML,Rs.125,https://alfatah.pk/products/marhaba-arq-saunf-240-ml,Dry Fruits & Nuts,,
