store,name,product-link,price,category,image_url,common_category
Metro,Khajur Cooking Oil 1L,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/khajur-cooking-oil-1l/11313026,Rs. 511,oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Sufi Banaspati Ghee 1 KG,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/sufi-banaspati-ghee-1-kg/12622447,Rs. 570,oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Sufi Canola Oil 16LTR,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/sufi-canola-oil-16ltr/12629438,"Rs. 8,810",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,Cooking Oils
Metro,Olivola Oil 1 LTR x5,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/olive-oil/olivola-oil-1-ltr-x5/12624486,"Rs. 2,940",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2Fhearticon.d8b376d1.png&w=48&q=75,Cooking Oils
Metro,Dalda Corn Oil Bottle 3L,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/dalda-corn-oil-bottle-3l/12631707,"Rs. 2,025",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Sufi Sunflower Oil 1LTR x5,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/sufi-sunflower-oil-1ltr-x5/12620047,"Rs. 2,940",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Canolive Cooking Oil 1 LTR X 5,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/canolive-cooking-oil-1-ltr-x-5/12621030,"Rs. 3,125",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Mezan Cooking Oil 1L x5,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/mezan-cooking-oil-1l-x5/12620456,"Rs. 2,725",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Sufi Banaspati Ghee 1 KG X 5,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/sufi-banaspati-ghee-1-kg-x-5/12620051,"Rs. 2,845",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Mezan Cooking Oil 1Litre,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/mezan-cooking-oil-1litre/12623098,Rs. 548,oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Dalda Banaspati Ghee 1 KG,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/banaspati/dalda-banaspati-ghee-1-kg/12621267,Rs. 580,oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Dalda Canola Oil 1LTR X 5,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/dalda-canola-oil-1ltr-x-5/12620212,"Rs. 2,880",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Sufi Canola Oil 1LTR,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/sufi-canola-oil-1ltr/12629426,Rs. 570,oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
Metro,Dalda Sunflower Oil 1LTR X5,https://www.metro-online.pk/detail/cooking-essentials/commodities/oil-and-ghee/cooking-oil/dalda-sunflower-oil-1ltr-x5/12624428,"Rs. 2,885",oil_and_ghee---metro,https://www.metro-online.pk/_next/image?url=%2F_next%2Fstatic%2Fmedia%2FExpres%20icon.74d0dbb5.png&w=3840&q=75,Cooking Oils
