store,category,name,price,cleaned_category,product-link,image_url,standardized_unit,quantity,cleaned_name
al-fateh,dry_fruits_&_dates---fateh,NUTRI MUGHALAE PAN MASALA POUCH 60 GM,Rs.225,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-mughalae-pan-masala-pouch-60-gm,,g,60.0,nutri mughalae pan masala pouch
al-fateh,dry_fruits_&_dates---fateh,NUTRI PAN PARAG KHOPRA MSALA JAR 150 GM,Rs.170,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-pan-parag-khopra-msala-jar-150-gm,,g,150.0,nutri pan parag khopra msala jar
al-fateh,dry_fruits_&_dates---fateh,NUTRI PAN MENTHOL JAR 150 GM,Rs.235,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-pan-menthol-jar-150-gm,,g,150.0,nutri pan menthol jar
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN HUMPTY DUMPTY COCKTAIL BUNTIES 175GM,Rs.260,Dry Fruits & Nuts,https://alfatah.pk/products/maizban-humpty-dumpty-cocktail-bunties-175gm,,g,175.0,maizban humpty dumpty cocktail bunties
al-fateh,dry_fruits_&_dates---fateh,NUTRI SHAHI METHA PAN MASALA POUCH 60 GM,Rs.245,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-shahi-metha-pan-masala-pouch-60-gm,,g,60.0,nutri shahi metha pan masala pouch
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA PLAIN 200GM,Rs.425,Dry Fruits & Nuts,https://alfatah.pk/products/maizban-pan-masala-plain-200gm,,g,200.0,maizban pan masala plain
al-fateh,dry_fruits_&_dates---fateh,AONE SOUNF CHANA MIX 150GM,Rs.210,Dry Fruits & Nuts,https://alfatah.pk/products/aone-sounf-chana-mix-150gm,,g,150.0,aone sounf chana mix
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA SWEET JAR 450gm,Rs.425,Dry Fruits & Nuts,https://alfatah.pk/products/maizban-pan-masala-sweet-saunf-300-gm,,g,450.0,maizban pan masala sweet jar
al-fateh,dry_fruits_&_dates---fateh,NUTRI BOMBAY PAN MASALA JAR 100 GM,Rs.445,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-bombay-pan-masala-jar-100-gm,,g,100.0,nutri bombay pan masala jar
al-fateh,dry_fruits_&_dates---fateh,ECO COCONUT SLICES 100GM,Rs.195,Dry Fruits & Nuts,https://alfatah.pk/products/eco-coconut-slices-100gm,,g,100.0,eco coconut slices
al-fateh,dry_fruits_&_dates---fateh,MUNTAHA PLAIN ROSTED SAUNF 175 GM,Rs.480,Dry Fruits & Nuts,https://alfatah.pk/products/muntaha-plain-rosted-saunf-175-gm,,g,175.0,muntaha plain rosted saunf
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA DHANYA GIRI SOUNF 175 GM,Rs.425,Dry Fruits & Nuts,https://alfatah.pk/products/maizban-pan-masala-dhanya-giri-sounf-200gm,,g,175.0,maizban pan masala dhanya giri sounf
al-fateh,dry_fruits_&_dates---fateh,MANAQA SPECIAL QUALITY 100 GM,Rs.170,Dry Fruits & Nuts,https://alfatah.pk/products/manaqa-special-quality-100-gm,,g,100.0,manaqa special quality
al-fateh,dry_fruits_&_dates---fateh,PAL PAL CHOCOLATEY PAN MASALA BOX 48 PC,Rs.240,Dry Fruits & Nuts,https://alfatah.pk/products/pal-pal-chocolatey-pan-masala-box-48-pc,,pieces,48.0,pal pal chocolatey pan masala box
al-fateh,dry_fruits_&_dates---fateh,A ONE SWEET SAUNF 185 GM,Rs.195,Dry Fruits & Nuts,https://alfatah.pk/products/a-one-sweet-saunf-185-gm,,g,185.0,a one sweet saunf
al-fateh,dry_fruits_&_dates---fateh,MAIZBAN PAN MASALA SWEET 200GM,Rs.425,Dry Fruits & Nuts,https://alfatah.pk/products/maizban-pan-masala-sweet-200gm,,g,200.0,maizban pan masala sweet
al-fateh,dry_fruits_&_dates---fateh,N HUG ENERGY MIX 200 GM,"Rs.1,295",Dry Fruits & Nuts,https://alfatah.pk/products/n-hug-energy-mix-200-gm,,g,200.0,n hug energy mix
al-fateh,dry_fruits_&_dates---fateh,NUTRI KASMIRI PAN MASALA JAR 150 GM,Rs.250,Dry Fruits & Nuts,https://alfatah.pk/products/nutri-kasmiri-pan-masala-jar-150-gm,,g,150.0,nutri kasmiri pan masala jar
