store,category,name,product-link,image_url,cleaned_category,cleaned_name,cleaned_quantity,cleaned_unit,cleaned_price,price_per_unit,predicted_price_elastic_net,predicted_price_linear_regression,predicted_price_random_forest
al-fateh,baby_food---fateh,NESTLE CERELAC OATS RICE & HANDPICKED APPLES 175 GM,https://alfatah.pk/products/nestle-cerelac-oats-rice-handpicked-apples-175-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_e8976052-4da4-4fcc-84fa-4d2b2c0ae572.png?v=1749628664,Baby Food,nestle cerelac oats rice & handpicked apples,175.0,g,610.0,3.4857142857142858,606.0938221841694,604.6154141346091,609.5882123681207
al-fateh,baby_food---fateh,NESTLE LACTOGROW 3 MILK POWDER GENTLE GROW 400 GM,https://alfatah.pk/products/nestle-lactogrow-3-milk-powder-gentle-grow-400-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2025-06-11T113540.527.png?v=1749623747,Baby Food,nestle lactogrow 3 milk powder gentle grow,400.0,g,1395.0,3.4875,1380.160711962237,1377.480705303058,1405.4681154522375
al-fateh,baby_food---fateh,SIMILAC ISOMIL MILK POWDER TIN IMMUNIF 400 GM,https://alfatah.pk/products/similac-isomil-milk-powder-tin-immunif-400-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_9df22fe4-f7d0-450b-83ca-8e0b40e9b916.png?v=1748862394,Baby Food,similac isomil milk powder tin immunif,400.0,g,3195.0,7.9875,3186.515061137867,3196.992754473335,3302.997804654428
al-fateh,baby_food---fateh,NESTLE MILK POWDER NAN 1 OPTIPRO 300 GM,https://alfatah.pk/products/nestle-milk-powder-nan-1-optipro-300-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_11_780516d3-3eda-4c20-9b25-c7095cf904ea.png?v=1749620260,Baby Food,nestle milk powder nan 1 optipro,300.0,g,1175.0,3.9166666666666665,1157.047684313698,1155.3963192128003,1172.6746144504075
al-fateh,baby_food---fateh,APTAMIL MILK POWDER TODDLER MILK 1+ YEAR STAGE 3 800 GM,https://alfatah.pk/products/aptamil-milk-powder-growing-up-1-2-years-3-800-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000231446.jpg?v=1744892785,Baby Food,aptamil milk powder toddler milk 1+ year stage 3,800.0,g,8195.0,10.24375,8323.415848563314,8368.326262447932,8204.373168376133
al-fateh,baby_food---fateh,APTAMIL MILK POWDER FOLLOW ON MILK 6-12 MONTHS STAGE 2 800 G,https://alfatah.pk/products/aptamil-milk-powder-follow-on-immune-syestem-stage-2-800-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2023-09-08T112911.394.png?v=1703088322,Baby Food,aptamil milk powder follow on milk 6-12 months stage 2,800.0,g,8195.0,10.24375,8323.415848563314,8368.326262447932,8204.373168376133
al-fateh,baby_food---fateh,NESTLE BUNYAD IRON POUCH 260 GM,https://alfatah.pk/products/nestle-bunyad-iron-pouch-260-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/Bunyad-Pack-Shot-Front-_260g_eec3fd45-20ea-4d08-9306-1de61ded191c.png?v=1749560653,Baby Food,nestle bunyad iron pouch,260.0,g,525.0,2.019230769230769,557.3972143929597,554.5121534330533,582.100764900636
al-fateh,baby_food---fateh,NESTLE MILK POWDER NAN 2 OPTIPRO 300 GM,https://alfatah.pk/products/nestle-milk-powder-nan-2-optipro-300-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_4_8eea39b5-087b-4eb2-9b75-3868ee2b16db.png?v=1749722278,Baby Food,nestle milk powder nan 2 optipro,300.0,g,1175.0,3.9166666666666665,1157.047684313698,1155.3963192128003,1172.6746144504075
al-fateh,baby_food---fateh,PEDIASURE NUTRI SUPPLEMENT POWDER FOR KIDS VANILLA TIN 850 G,https://alfatah.pk/products/pediasure-milk-powder-classic-vanilla-tin-850-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_3_96833399-ec09-4740-a54e-4b764f885693.png?v=1745232459,Baby Food,pediasure nutri supplement powder for kids vanilla tin,850.0,g,6695.0,7.876470588235295,6651.100709087541,6675.349210224646,6971.639247664989
al-fateh,baby_food---fateh,NESTLE CERELAC THREE FRUITS AND WHEAT 100 GM,https://alfatah.pk/products/nestle-cerelac-three-fruits-and-wheat-100-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/8961008237213_7bb442d0-83b4-4f5e-bed5-fd9a69c92ebf.jpg?v=1750336159,Baby Food,nestle cerelac three fruits and wheat,100.0,g,245.0,2.45,253.30359276800644,252.0997305874729,298.40754275438303
