store,name,product_link,price,category
Jalal Sons,Pepsi Imp Tin 150ML,https://jalalsons.com.pk/product/pepsi-imp-tin-150ml-220439,Rs 298,Beverages
Jalal Sons,Cappy Pulpy Orange 350ML,https://jalalsons.com.pk/product/cappy-pulpy-orange-350ml-177174,Rs 120,Beverages
Jalal Sons,Pepsi Tin 250ML(250 Ml),https://jalalsons.com.pk/product/pepsi-tin-250ml-177291,Rs 99,Beverages
Jalal Sons,Cappy Pulpy Orange 1L(1 L),https://jalalsons.com.pk/product/cappy-pulpy-orange-1l-177173,Rs 252,Beverages
Jalal Sons,Prema Chocolate Milk(180 Ml),https://jalalsons.com.pk/product/prema-chocolate-milk-177293,Rs 118,Beverages
Jalal Sons,Red Bull 250ML(250 Ml),https://jalalsons.com.pk/product/red-bull-250ml-177301,Rs 449,Beverages
Jalal Sons,Red Bull 4 Packs 250ML(250 Ml),https://jalalsons.com.pk/product/red-bull-4-packs-250ml-177303,"Rs 1,798",Beverages
Jalal Sons,Nestle Milo P/B 500G(500 G),https://jalalsons.com.pk/product/nestle-milo-p-b-500g-177250,"Rs 1,499",Beverages
Jalal Sons,Regal MixFruit Juice 2L(2 L),https://jalalsons.com.pk/product/regal-mixfruit-juice-2l-177307,"Rs 1,474",Beverages
Jalal Sons,Masafi Juice Orang 1Ltr(1 L),https://jalalsons.com.pk/product/masafi-juice-orang-1ltr-177212,Rs 894,Beverages
Jalal Sons,Mountain Dew Bottle 345Ml,https://jalalsons.com.pk/product/mountain-dew-bottle-345ml-177230,Rs 64,Beverages
Jalal Sons,Murree Brewery PEACH MALT,https://jalalsons.com.pk/product/murree-brewery-peach-malt-177232,Rs 78,Beverages
Jalal Sons,Shezan Fruit Drink Lemon Barley,https://jalalsons.com.pk/product/shezan-fruit-drink-lemon-barley-177317,Rs 108,Beverages
Jalal Sons,Aqua Coconut Water(1 L),https://jalalsons.com.pk/product/aqua-coconut-water-177167,"Rs 1,348",Beverages
Jalal Sons,Masafi Juice Tropical Bot 1Ltr,https://jalalsons.com.pk/product/masafi-juice-tropical-bot-1ltr-177213,Rs 864,Beverages
